# Proton-Proton Scattering
# Angle vs. Cross-section Fractional Variation
# 550 MeV

0.000 -1.029966E-01
9.000 -6.680712E-02
18.000 -1.439291E-02
27.000 -1.942194E-02
36.000 1.962357E-02
45.000 5.903653E-02
54.000 5.051740E-02
63.000 1.777833E-02
72.000 1.626625E-02
81.000 1.914489E-03
90.000 -2.816853E-02
99.000 1.914489E-03
108.000 1.626625E-02
117.000 1.777833E-02
126.000 5.051740E-02
135.000 5.903653E-02
144.000 1.962357E-02
153.000 -1.942194E-02
162.000 -1.439291E-02
171.000 -6.680712E-02
180.000 -1.029966E-01
