q_0-2000_omega_58-150_W00_W03_W11_W12_W33_Ar40
18 40 anu_QE_PW_HF_Mid 31 250
0 0.058 0.003 0 0.00898999977 0.00798
0.0 0.0 0.0 -0 0.0
0.0 0.0 0.0 -0 0.0
0.0 0.0 0.0 -0 0.0
0.0 0.0 0.0 -0 0.0
0.0 0.0 0.0 -0 0.0
0.0 0.0 0.0 -0 0.0
0.0 0.0 0.0 -0 0.0
185.669658016 104.85822396 372.134680914 -93.2591612826 366.900609244
201.104924806 94.8053344209 394.336808987 -110.449807425 335.034333559
216.334992565 86.9657389634 416.634551001 -128.783061245 306.727907209
230.826532452 80.7428178043 438.310312995 -147.973970671 280.544886575
244.068819974 75.7044444853 458.641773733 -167.652710305 255.783345492
255.598235619 71.519523498 476.928225473 -187.379770801 232.14304666
265.017968272 67.9247190458 492.521395536 -206.666153887 209.544584217
272.018329689 64.709994437 504.85931836 -225.001213418 188.023406083
276.391506521 61.710772209 513.495623433 -241.883205378 167.667005943
278.043105106 58.8048098658 518.130725741 -256.852929925 148.577385082
276.995532728 55.9092031333 518.633403337 -269.527591498 130.848450486
273.387191665 52.9773199277 515.056172069 -279.629869112 114.552637928
267.463985859 49.9945224701 507.638064794 -287.014024601 99.7340596414
259.561612487 46.9724817008 496.792920296 -291.678139567 86.4056256609
250.082387913 43.9429094432 483.087253861 -293.765695363 74.5485827207
239.466854737 40.9496992971 467.198534157 -293.554961021 64.1145854456
228.161837892 38.0415367291 449.867654042 -291.431248054 55.0286719337
216.587900202 35.2653000053 431.839518503 -287.848934497 47.1941481957
205.10869498 32.659515515 413.802171366 -283.28451911 40.4972392755
194.009069423 30.2504875575 396.331632877 -278.18604706 34.8133976151
183.478285838 28.0497616202 379.845612688 -272.925783031 30.0130615258
173.606934506 26.0539137831 364.576676242 -267.764326121 25.9676067082
164.392283094 24.2462813225 350.565006649 -262.825138633 22.5543904732
155.755114381 22.6000971457 337.673370964 -258.094147715 19.661328974
147.563414174 21.0829068538 325.623375292 -253.433220904 17.1899547969
139.660769072 19.6610167339 314.048531595 -248.614105409 15.057271673
131.893865708 18.3039691195 302.552379523 -243.362882411 13.1964066372
124.137329151 16.9876972101 290.76982282 -237.409998795 11.5556715598
116.310658883 15.6966689386 278.418543946 -230.53586507 10.0970908247
108.386850805 14.4245538334 265.332552284 -222.607765889 8.79390403772
100.392132915 13.1732396593 251.477735073 -213.600373001 7.6279472302
92.3964696839 11.9511627791 236.946516616 -203.595792918 6.58689291196
84.5004570423 10.7708104108 221.93438874 -192.772119923 5.66193616721
76.8173810661 9.64596564379 206.70395242 -181.373340636 4.84584455565
69.4571633444 8.58942279079 191.543356866 -169.676058831 4.13161879198
62.5123801603 7.61117020145 176.727395679 -157.952711826 3.51177103253
56.049196064 6.717289204 162.485028828 -146.441347686 2.97801395844
50.103324317 5.90967323102 148.979559752 -135.324743592 2.52139880164
44.6811965146 5.18639824314 136.300839909 -124.720241039 2.13264057197
39.7648645366 4.54252718352 124.470944145 -114.681534942 1.80255717792
35.3188022252 3.97114267632 113.456424154 -105.209346078 1.52246551097
31.2978531424 3.46438703787 103.187978419 -96.2668259318 1.28451921946
27.6545471223 3.01438934218 93.5801097969 -87.7980776245 1.0818871376
24.3444837602 2.61392598215 84.5486843617 -79.7451295629 0.908832169561
21.3298737869 2.25678936834 76.0238736742 -72.0598260793 0.760666632186
18.5811619798 1.93793690388 67.9577131538 -64.7121074404 0.633623431037
16.0768068952 1.65340978019 60.3261074349 -57.6927573615 0.52471137302
13.8018526757 1.40016124707 53.1262773018 -51.0114056329 0.431529251329
11.7460669786 1.17579097383 46.3715825253 -44.6922127074 0.352119089779
9.90178102123 0.978310503641 40.0847006052 -38.7673928787 0.284835508812
8.26204179155 0.805929944206 34.2905758534 -33.2708366173 0.228242352965
6.81924190441 0.65691053237 29.010944084 -28.2325174642 0.181052370018
5.56422740602 0.529470121533 24.2596480584 -23.6742642816 0.14208648376
4.48594339551 0.421752885017 20.0402947829 -19.6069153842 0.110253676803
3.57149895105 0.331832035335 16.3450849533 -16.0295404696 0.0845432807944
2.80646157863 0.257741109338 13.1552204146 -12.9294489135 0.0640273234112
2.17539101026 0.197518005639 10.4422301606 -10.2836501193 0.0478631429934
1.66237549196 0.149255707737 8.16989006534 -8.06065456762 0.0352956393807
1.25159709305 0.111143341678 6.29641756433 -6.22272091596 0.0256593900833
0.927801703745 0.0815037516701 4.77678989727 -4.72814516394 0.0183770332443
0.676698622678 0.0588176255596 3.56478979677 -3.5334311042 0.0129568054344
0.485249119739 0.0417405292829 2.61495020413 -2.59523619599 0.00898630855921
0.34184280468 0.0291068785064 1.88400794941 -1.87194259592 0.00612609110866
0.23638882062 0.0199286448686 1.3320894325 -1.32491615374 0.0041014674681
0.160327266253 0.0133861695247 0.923528174324 -0.919393632168 0.00269452946071
0.106560192203 0.00881402357667 0.627270045481 -0.624966229796 0.00173553835449
0.0693456697689 0.00568435091948 0.417033056697 -0.415794174891 0.00109500297434
0.044149766523 0.00358795384209 0.27117125321 -0.270530156492 0.000676188060854
0.0274799627518 0.0022151049291 0.172336449205 -0.172017408114 0.000408395236556
0.0167147536735 0.00133711164664 0.107008659421 -0.10685559697 0.000241144796289
0.00993718545148 0.000789350469307 0.0649427384071 -0.0648712396212 0.000139239360619
0.00578296881049 0.000456397104047 0.0385946065831 -0.038561131601 7.87442283738e-05
0.00330742358754 0.000259445313027 0.0225672357457 -0.0225506660813 4.38003824039e-05
0.00187509508887 0.000146192450323 0.013114268325 -0.0131049220165 2.41800197582e-05
