# Proton-Neutron Scattering
# Angle vs. Cross-section Fractional Variation
# 600 MeV

0.000 6.744171E-02
9.000 5.821910E-02
18.000 4.832540E-02
27.000 3.704696E-02
36.000 2.435389E-02
45.000 1.229471E-02
54.000 3.570963E-03
63.000 -1.463719E-03
72.000 -4.171159E-03
81.000 -5.874354E-03
90.000 -7.230520E-03
99.000 -8.348830E-03
108.000 -9.245555E-03
117.000 -1.001078E-02
126.000 -1.070345E-02
135.000 -1.134376E-02
144.000 -1.190512E-02
153.000 -1.192901E-02
162.000 -8.880225E-03
171.000 -1.677042E-03
180.000 3.993950E-03
